Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02,248.66,248.83,241.55,243.58,55740700,0.0,0.0
2025-01-03,243.09,243.91,241.62,243.09,40244100,0.0,0.0
2025-01-06,244.04,247.06,242.93,244.73,45045600,0.0,0.0
2025-01-07,242.71,245.28,241.08,241.94,40856000,0.0,0.0
2025-01-08,241.65,243.44,239.79,242.43,37628900,0.0,0.0
2025-01-10,239.75,239.9,232.74,236.59,61710900,0.0,0.0
2025-01-13,233.27,234.41,229.47,234.14,49630700,0.0,0.0
2025-01-14,234.49,235.86,232.21,233.02,39435300,0.0,0.0
2025-01-15,234.38,238.7,234.17,237.61,39832000,0.0,0.0
2025-01-16,237.09,237.75,227.78,228.01,71759100,0.0,0.0
2025-01-17,231.87,232.03,228.23,229.73,68488300,0.0,0.0
2025-01-21,223.75,224.17,219.14,222.4,98070400,0.0,0.0
2025-01-22,219.55,223.87,219.55,223.58,64126500,0.0,0.0
2025-01-23,224.49,226.78,222.06,223.41,60234800,0.0,0.0
2025-01-24,224.53,225.38,221.17,222.54,54697900,0.0,0.0
2025-01-27,223.77,231.9,223.73,229.61,94863400,0.0,0.0
2025-01-28,230.6,239.93,230.56,238.0,75707600,0.0,0.0
2025-01-29,233.86,239.6,233.75,239.1,45486100,0.0,0.0
2025-01-30,238.41,240.53,236.95,237.33,55658300,0.0,0.0
2025-01-31,246.92,246.92,233.18,235.74,101075100,0.0,0.0
2025-02-03,229.74,231.58,225.45,227.76,73063300,0.0,0.0
2025-02-04,227.0,232.87,226.4,232.54,45067300,0.0,0.0
2025-02-05,228.28,232.41,228.02,232.21,39620300,0.0,0.0
2025-02-06,231.04,233.54,230.18,232.96,29925300,0.0,0.0
2025-02-07,232.34,233.74,227.01,227.38,39707200,0.0,0.0
2025-02-10,229.57,230.59,227.2,227.65,33115600,0.25,0.0
2025-02-11,228.2,235.23,228.13,232.62,53718400,0.0,0.0
2025-02-12,231.2,236.96,230.68,236.87,45243300,0.0,0.0
2025-02-13,236.91,242.34,235.57,241.53,53614100,0.0,0.0
2025-02-14,241.25,245.55,240.99,244.6,40896200,0.0,0.0
2025-02-18,244.15,245.18,241.84,244.47,48822500,0.0,0.0
2025-02-19,244.66,246.01,243.16,244.87,32204200,0.0,0.0
2025-02-20,244.94,246.78,244.29,245.83,32316900,0.0,0.0
2025-02-21,245.95,248.69,245.22,245.55,53197400,0.0,0.0
2025-02-24,244.93,248.86,244.42,247.1,51326400,0.0,0.0
2025-02-25,248.0,250.0,244.91,247.04,48013300,0.0,0.0
2025-02-26,244.33,244.98,239.13,240.36,44433600,0.0,0.0
2025-02-27,239.41,242.46,237.06,237.3,41153600,0.0,0.0
2025-02-28,236.95,242.09,230.2,241.84,56833400,0.0,0.0
2025-03-03,241.79,244.03,236.11,238.03,47184000,0.0,0.0
2025-03-04,237.71,240.07,234.68,235.93,53798100,0.0,0.0
2025-03-05,235.42,236.55,229.23,235.74,47227600,0.0,0.0
2025-03-06,234.44,237.86,233.16,235.33,45170400,0.0,0.0
2025-03-07,235.11,241.37,234.76,239.07,46273600,0.0,0.0
2025-03-10,235.54,236.16,224.22,227.48,72071200,0.0,0.0
2025-03-11,223.81,225.84,217.45,220.84,76137400,0.0,0.0
2025-03-12,220.14,221.75,214.91,216.98,62547500,0.0,0.0
2025-03-13,215.95,216.84,208.42,209.68,61368300,0.0,0.0
2025-03-14,211.25,213.95,209.58,213.49,60107600,0.0,0.0
2025-03-17,213.31,215.22,209.97,214.0,48073400,0.0,0.0
2025-03-18,214.16,215.15,211.49,212.69,42432400,0.0,0.0
2025-03-19,214.22,218.76,213.75,215.24,54385400,0.0,0.0
2025-03-20,213.99,217.49,212.22,214.1,48862900,0.0,0.0
2025-03-21,211.56,218.84,211.28,218.27,94127800,0.0,0.0
2025-03-24,221.0,221.48,218.58,220.73,44299500,0.0,0.0
2025-03-25,220.77,224.1,220.08,223.75,34493600,0.0,0.0
2025-03-26,223.51,225.02,220.47,221.53,34466100,0.0,0.0
2025-03-27,221.39,224.99,220.56,223.85,37094800,0.0,0.0
2025-03-28,221.67,223.81,217.68,217.9,39818600,0.0,0.0
2025-03-31,217.01,225.62,216.23,222.13,65299300,0.0,0.0
2025-04-01,219.81,223.68,218.9,223.19,36412700,0.0,0.0
2025-04-02,221.32,225.19,221.02,223.89,35905900,0.0,0.0
2025-04-03,205.54,207.49,201.25,203.19,103419000,0.0,0.0
2025-04-04,193.89,199.88,187.34,188.38,125910900,0.0,0.0
2025-04-07,177.2,194.15,174.62,181.46,160466300,0.0,0.0
2025-04-08,186.7,190.34,169.21,172.42,120859500,0.0,0.0
2025-04-09,171.95,200.61,171.89,198.85,184395900,0.0,0.0
2025-04-10,189.07,194.78,183.0,190.42,121880000,0.0,0.0
2025-04-11,186.1,199.54,186.06,198.15,87435900,0.0,0.0
2025-04-14,211.44,212.94,201.16,202.52,101352900,0.0,0.0
2025-04-15,201.86,203.51,199.8,202.14,51343900,0.0,0.0
2025-04-16,198.36,200.7,192.37,194.27,59732400,0.0,0.0
2025-04-17,197.2,198.83,194.42,196.98,52164700,0.0,0.0
