Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02,222.03,225.15,218.19,220.22,33956600,0.0,0.0
2025-01-03,222.51,225.36,221.62,224.19,27515600,0.0,0.0
2025-01-06,226.78,228.84,224.84,227.61,31849800,0.0,0.0
2025-01-07,227.9,228.38,221.46,222.11,28084200,0.0,0.0
2025-01-08,223.19,223.52,220.2,222.13,25033300,0.0,0.0
2025-01-10,221.46,221.71,216.5,218.94,36811500,0.0,0.0
2025-01-13,218.06,219.4,216.47,218.46,27262700,0.0,0.0
2025-01-14,220.44,221.82,216.2,217.76,24711700,0.0,0.0
2025-01-15,222.83,223.57,220.75,223.35,31291300,0.0,0.0
2025-01-16,224.42,224.65,220.31,220.66,24757300,0.0,0.0
2025-01-17,225.84,226.51,223.08,225.94,42370100,0.0,0.0
2025-01-21,228.9,231.78,226.94,230.71,39951500,0.0,0.0
2025-01-22,232.02,235.44,231.19,235.01,41448200,0.0,0.0
2025-01-23,234.1,235.52,231.51,235.42,26404400,0.0,0.0
2025-01-24,234.5,236.4,232.93,234.85,25890700,0.0,0.0
2025-01-27,226.21,235.61,225.86,235.42,49428300,0.0,0.0
2025-01-28,234.29,241.77,233.98,238.15,41587200,0.0,0.0
2025-01-29,239.02,240.39,236.15,237.07,26091700,0.0,0.0
2025-01-30,237.14,237.95,232.22,234.64,32020700,0.0,0.0
2025-01-31,236.5,240.29,236.41,237.68,36162400,0.0,0.0
2025-02-03,234.06,239.25,232.9,237.42,37285900,0.0,0.0
2025-02-04,239.01,242.52,238.03,242.06,29713800,0.0,0.0
2025-02-05,237.02,238.32,235.2,236.17,38727300,0.0,0.0
2025-02-06,238.01,239.66,236.01,238.83,60897100,0.0,0.0
2025-02-07,232.5,234.81,228.06,229.15,77539300,0.0,0.0
2025-02-10,230.55,233.92,229.2,233.14,35419900,0.0,0.0
2025-02-11,231.92,233.44,230.13,232.76,23713700,0.0,0.0
2025-02-12,230.46,231.18,228.16,228.93,32285200,0.0,0.0
2025-02-13,228.85,230.42,227.52,230.37,31346500,0.0,0.0
2025-02-14,229.2,229.89,227.23,228.68,27031100,0.0,0.0
2025-02-18,228.82,229.3,223.72,226.65,42975100,0.0,0.0
2025-02-19,225.52,226.83,223.71,226.63,28566700,0.0,0.0
2025-02-20,224.78,225.13,221.81,222.88,30001700,0.0,0.0
2025-02-21,223.28,223.31,214.74,216.58,55323900,0.0,0.0
2025-02-24,217.45,217.72,212.42,212.71,42387600,0.0,0.0
2025-02-25,211.63,213.34,204.16,212.8,58958000,0.0,0.0
2025-02-26,214.94,218.16,213.09,214.35,39120600,0.0,0.0
2025-02-27,218.35,219.97,208.37,208.74,40548600,0.0,0.0
2025-02-28,208.65,212.62,206.99,212.28,51771700,0.0,0.0
2025-03-03,213.35,214.01,202.55,205.02,42948400,0.0,0.0
2025-03-04,200.11,206.8,197.43,203.8,60853100,0.0,0.0
2025-03-05,204.8,209.98,203.26,208.36,38610100,0.0,0.0
2025-03-06,204.4,205.77,198.3,200.7,49863800,0.0,0.0
2025-03-07,199.49,202.27,192.53,199.25,59802800,0.0,0.0
2025-03-10,195.6,196.73,190.85,194.54,62350900,0.0,0.0
2025-03-11,193.9,200.18,193.4,196.59,54002900,0.0,0.0
2025-03-12,200.72,201.52,195.29,198.89,43679300,0.0,0.0
2025-03-13,198.17,198.88,191.82,193.89,41270800,0.0,0.0
2025-03-14,197.41,198.65,195.32,197.95,38096700,0.0,0.0
2025-03-17,198.77,199.0,194.32,195.74,47341800,0.0,0.0
2025-03-18,192.52,194.0,189.38,192.82,40414900,0.0,0.0
2025-03-19,193.38,195.97,191.96,195.54,39442900,0.0,0.0
2025-03-20,193.07,199.32,192.3,194.95,38921100,0.0,0.0
2025-03-21,192.9,196.99,192.52,196.21,60056900,0.0,0.0
2025-03-24,200.0,203.64,199.95,203.26,41625400,0.0,0.0
2025-03-25,203.6,206.21,203.22,205.71,31171200,0.0,0.0
2025-03-26,205.84,206.01,199.93,201.13,32855300,0.0,0.0
2025-03-27,200.89,203.79,199.28,201.36,27317700,0.0,0.0
2025-03-28,198.42,199.26,191.88,192.72,52548200,0.0,0.0
2025-03-31,188.19,191.33,184.4,190.26,63547600,0.0,0.0
2025-04-01,187.86,193.93,187.2,192.17,41267300,0.0,0.0
2025-04-02,187.66,198.34,187.66,196.01,53679200,0.0,0.0
2025-04-03,183.0,184.13,176.92,178.41,95553600,0.0,0.0
2025-04-04,167.15,178.14,166.0,171.0,123159400,0.0,0.0
2025-04-07,162.0,183.41,161.38,175.26,109327100,0.0,0.0
2025-04-08,185.23,185.9,168.57,170.66,87710400,0.0,0.0
2025-04-09,172.12,192.65,169.93,191.1,116804300,0.0,0.0
2025-04-10,185.44,186.87,175.85,181.22,68302000,0.0,0.0
2025-04-11,179.93,185.86,178.0,184.87,50594300,0.0,0.0
2025-04-14,186.84,187.44,179.23,182.12,48002500,0.0,0.0
2025-04-15,181.41,182.35,177.93,179.59,43642000,0.0,0.0
2025-04-16,176.29,179.1,171.41,174.33,51875300,0.0,0.0
2025-04-17,176.0,176.21,172.0,172.61,44726500,0.0,0.0
